ref_n,kind,layer,authors,year,title,venue,doi,finding,grounds_how,myth,confidence,cited_in_sections
11,economics,trim-tax,"Dopson, Lea R.; Hayes, David K.",2019,"Food and Beverage Cost Control, 7th Edition (Ch. 5, Monitoring Food and Beverage Product Costs)",Wiley (ISBN 9781119524991),https://www.wiley.com/en-us/food-and-beverage-cost-control-7th-edition-p-9781119524991,"Codifies the AP/EP framework and the yield test (butcher's/cooking test): the test produces a yield percentage, and edible-portion (servable) cost equals the as-purchased cost divided by that yield percentage — i.e., a cost factor of 1 divided by yield applied to the AP price.",This is the canonical textbook statement of our trim-tax formula; our layer applies its cost factor (1 / yield %) as the multiplier on ingredient cost when costing and pricing a menu item.,,high,Price on what reaches the plate: the trim tax
12,economics,trim-tax,"U.S. Department of Agriculture, Food and Nutrition Service",2024,Food Buying Guide for Child Nutrition Programs (interactive web-based edition),USDA Food and Nutrition Service — continuously updated online resource (updated for the 2024 final rule aligning Child Nutrition meal patterns with the 2020-2025 Dietary Guidelines),https://www.fns.usda.gov/tn/fbg,"Publishes standardized as-purchased (AP) to served/edible-portion yield data in a six-column table (Column 1 Food As Purchased; Column 3 Servings per Purchase Unit, EP; Column 5 Purchase Units for 100 Servings; Column 6 Additional Yield Information) so an operator can calculate the AP quantity to buy to net a required amount of served food. It is the USDA's standardized, continuously-updated purchase-yield reference for Child Nutrition Programs, and is widely used beyond schools as a government foodservice purchase-yield reference.","Our trim-tax multiplier (1 / edible yield) uses FBG-style AP-to-served yield factors as its standardized, citable basis; we extend the FBG's purchase-quantity math into a per-dollar cost penalty applied when pricing a menu item.","Corrects the assumption that the FBG is only for school/CACFP kitchens: its title scopes it to Child Nutrition Programs, but the underlying AP-to-served yield tables are a general USDA purchase-yield reference usable by any foodservice operator.",high,Price on what reaches the plate: the trim tax
13,economics,trim-tax,"Pecot, Rebecca K.; Watt, Bernice K. (U.S. Department of Agriculture, Agricultural Research Service)",1956,Food Yields Summarized by Different Stages of Preparation (Agriculture Handbook No. 102),"U.S. Department of Agriculture, Agriculture Handbook No. 102 (orig. 1956; rev. 1975)",https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/ah102.pdf,"Compiles empirical percentage yields for a wide range of foods across successive preparation stages (as-purchased to trimmed/edible to cooked), quantifying refuse/trim losses and cooking losses relative to as-purchased weight.",It is the primary empirical foundation the trim-tax rests on — documenting that edible yield after trim and cooking is materially below purchased weight; we convert those measured loss fractions into the 1/yield cost markup.,"Many circulating 'edible-yield %' charts have no cited provenance; AH-102 is the actual primary USDA source those yield figures trace back to, not vendor lore.",high,Price on what reaches the plate: the trim tax
14,economics,trim-tax,"Roseland, Janet M.; Nguyen, Quynh Anh; Williams, Juhi R.; Patterson, Kristine Y.; Showell, Bethany A.; Pehrsson, Pamela R. (USDA Agricultural Research Service)",2017,"USDA Table of Cooking Yields for Meat and Poultry, Release 2",USDA Agricultural Research Service — Ag Data Commons dataset,https://doi.org/10.15482/USDA.ADC/1409031,"Reports measured cooking yields (weight change from moisture and fat loss) for specific meat and poultry cuts under standardized cooking protocols, isolating cooking loss as a distinct component of edible yield separate from knife trim.",Supplies the cooking-loss component of edible yield for proteins specifically; we use it to justify splitting the trim-tax into a trim component and a cook component rather than a single blended factor.,"Corrects the belief that AP-to-EP yield loss is mostly knife trimming: for cooked proteins a large share of weight loss is moisture and fat driven off during cooking, not trim.",high,Price on what reaches the plate: the trim tax
15,food-science,cooked-yield,"Tornberg, E.",2005,Effects of heat on meat proteins – Implications on structure and quality of meat products,Meat Science,https://doi.org/10.1016/j.meatsci.2004.11.021,"A review of how heat restructures meat proteins. The globular sarcoplasmic and myofibrillar proteins begin to denature and aggregate around 40°C, with most set by about 60°C and coagulation continuing up to ~90°C; as this network denatures it shrinks and squeezes out held water, so cooking (water) loss rises with temperature. Collagen (connective tissue) denatures at roughly 53-63°C and its fibers shrink, and on continued moist heating the shrunken collagen dissolves into gelatin unless it is locked up by heat-stable crosslinks.",,,high,Price on what reaches the plate: the trim tax
16,food-science,cooked-yield,"Purslow, P.P.; Oiseth, S.; Hughes, J.; Warner, R.D.",2016,The structural basis of cooking loss in beef: Variations with temperature and ageing,"Food Research International, 89(Part 1), 739-748",https://doi.org/10.1016/j.foodres.2016.09.010,"In aged beef eye-of-round (semitendinosus), the water squeezed out during cooking comes mainly from the muscle fibers themselves shrinking, not from connective tissue. Fibers shrink sideways (cross-sectional area down about 20-24%) as myosin denatures around 50-65 C, then shrink lengthwise as actin denatures around 70-75 C — so cooking loss climbs in two temperature-driven steps as the center gets hotter. Meat aged longer (14 days vs 1 day) gave up more fluid when cooked.",,,high,Price on what reaches the plate: the trim tax
17,food-science,trim-tax,"Weatherly, B.H.; Griffin, D.B.; Johnson, H.K.; Walter, J.P.; De La Zerda, M.J.; Tipton, N.C.; Savell, J.W.",2001,Foodservice yield and fabrication times for beef as influenced by purchasing options and merchandising styles,"Journal of Animal Science, 79(12), 3052-3061",https://doi.org/10.2527/2001.79123052x,"Professional cutters at three foodservice purveyors fabricated beef subprimals into ready-to-cook portion cuts while researchers weighed every cut and timed every job. Both the total usable yield and the labor time depended on the cutting spec, and the two moved against each other: as the target steak size got smaller, more steaks came off a given subprimal, but total foodservice yield fell and total cutting time rose — an inverse relationship between how much usable product you kept and how long the cutting took.",,,med,Price on what reaches the plate: the trim tax
18,food-science,trim-tax,"Okomoda, V.T.; Solomon, S.G.; Wukatda, S.S.; Ikape, S.I.; Ikhwanuddin, M.; Abol-Munafi, A.B.",2021,"Fillet Yield and Length-Weight Relationship of Five Fish Species From Lower River Benue, Makurdi, Nigeria","Tropical Life Sciences Research, 32(1), 163-174",https://doi.org/10.21315/tlsr2021.32.1.10,"Filleting 60 fish each of five species, researchers found edible/fillet yield swung widely by species: three species (Mormyrus rume, Labeo senegalensis, and the catfish Clarias gariepinus) yielded at least 55% edible parts, while the other two yielded 39% or less. For most species the yield percentage stayed roughly constant regardless of fish size; only the catfish yield rose with larger fish.",,,high,Price on what reaches the plate: the trim tax
19,food-science,cooked-yield,"Turhan, M.; Sayar, S.; Gunasekaran, S.",2002,Application of Peleg model to study water absorption in chickpea during soaking,"Journal of Food Engineering, 53(2), 153-159",https://doi.org/10.1016/S0260-8774(01)00152-2,"Soaking dried chickpeas follows a predictable curve: water rushes in fast at first, then the uptake rate tapers as the seed nears saturation. The authors showed the two-constant Peleg equation reproduces this entire soaking curve — for five winter- and five spring-planted chickpea genotypes across water temperatures from 20 to 100 C — using only early-timepoint data, and that warmer soak water hydrates faster (the model's equilibrium form estimates the fully-hydrated endpoint at temperatures at or above 40 C). A soaked-out chickpea has taken on roughly its own dry weight in water.",,,high,Price on what reaches the plate: the trim tax
20,food-science,cooked-yield,"Yadav, B. K.; Jindal, V. K.",2007,Water uptake and solid loss during cooking of milled rice (Oryza sativa L.) in relation to its physicochemical properties,"Journal of Food Engineering, 80(1), 46-54",https://doi.org/10.1016/j.jfoodeng.2006.06.021,"Cooking 10 Thai milled-rice varieties (16-29% amylose) in excess water, the authors found water uptake climbs quickly at first then flattens as grains approach saturation (uptake curves fit a modified exponential, R2 0.995-0.999), while dissolved solids leach into the cooking water as a power function of cooking time — steadily more the longer it boils. How much water a rice takes up was governed largely by its amylose content and amylose solubility (alkali-spreading score); higher-amylose rices take up more water and need longer cooking.",,,high,Price on what reaches the plate: the trim tax
21,economics,seasonal-window,"Robert B. Cleveland, William S. Cleveland, Jean E. McRae, and Irma Terpenning",1990,STL: A Seasonal-Trend Decomposition Procedure Based on Loess (with Discussion),"Journal of Official Statistics (Statistics Sweden), vol. 6, no. 1, pp. 3-73",https://www.semanticscholar.org/paper/STL-:-A-Seasonal-Trend-Decomposition-Procedure-on-Cleveland/585bf445ec84c1d9621b2726bdcce9f544b515c8,"Cleveland, Cleveland, McRae and Terpenning introduced STL, a robust loess-based procedure that splits a time series into trend, a seasonal component allowed to evolve gradually over time, and a remainder, giving a resistant way to estimate the recurring seasonal shape without a single anomalous observation distorting it.","Our seasonal-window layer estimates each ingredient's recurring shape in the STL spirit—decomposing a price history into trend + seasonal + remainder with a robust, time-varying seasonal component—so an outlier week does not redraw the window and a slowly-shifting season is still captured.",,high,The hidden season and the noise gate
22,economics,seasonal-window,"David F. Findley, Brian C. Monsell, William R. Bell, Mark C. Otto, and Bor-Chung Chen",1998,New Capabilities and Methods of the X-12-ARIMA Seasonal-Adjustment Program,"Journal of Business & Economic Statistics (American Statistical Association / Taylor & Francis), vol. 16, no. 2, pp. 127-152",https://doi.org/10.1080/07350015.1998.10524743,"Documenting the U.S. Census Bureau's X-12-ARIMA program, the authors describe its seasonal-adjustment method and diagnostic suite, including the tests used to decide whether a series' seasonal movement is statistically identifiable (the combined stable-plus-moving F-tests and Kruskal-Wallis test, after Lothian and Morry) rather than a series that merely looks seasonal.","Our noise gate operationalizes the same principle these diagnostics formalize: a seasonal window is drawn only when the recurring component is large and stable relative to the remainder, so scatter is never promoted to a 'season'—we require identifiable seasonality before publishing a window.",Corrects the myth that any recurring dip or peak is 'seasonal'; the identifiable-seasonality framework this program reports shows apparent patterns can fail the stable/moving/nonparametric tests and must be treated as non-seasonal noise.,high,The hidden season and the noise gate
23,economics,seasonal-window,"U.S. Department of Agriculture, Economic Research Service",2024,"Starchy fresh vegetables (excluding potatoes) had the most seasonal price variation from 2016-18 (Charts of Note, from Food-at-Home Monthly Area Prices data)",USDA Economic Research Service,https://www.ers.usda.gov/data-products/charts-of-note/chart-detail?chartId=109127,"Using Food-at-Home Monthly Area Prices for 2016-18, USDA ERS found that seasonal price variation among fresh vegetables is category- and item-specific: it is largest for the 'other starchy vegetables' group (dominated by sweet corn), which is cheapest in summer when domestic supply peaks, and smallest for dark green vegetables, which show little seasonal price movement.","This grounds our per-ingredient (not blanket) seasonal windows: because seasonality varies by category and item, we estimate a window for each ingredient rather than assuming a uniform 'summer is cheap' rule, and we suppress windows for low-variation items like dark greens.",Corrects the 'all produce is cheapest in summer / produce is uniformly seasonal' oversimplification; ERS shows some categories have pronounced summer troughs while others (dark greens) show minimal seasonal price variation.,high,The hidden season and the noise gate
24,food-science,peak-season,"Schwieterman, Michael L.; Colquhoun, Thomas A.; Jaworski, Elizabeth A.; Bartoshuk, Linda M.; Gilbert, Jessica L.; Tieman, Denise M.; Clark, David G.",2014,"Strawberry flavor: diverse chemical compositions, a seasonal influence, and effects on sensory perception","PLOS ONE, 9(2), e88446",https://doi.org/10.1371/journal.pone.0088446,"Across many strawberry varieties and harvest dates, sweetness and overall consumer liking tracked sugar levels and a specific set of aroma volatiles — and both varied substantially with growing season and conditions, with fruit grown under warmer-season pressures generally lower in sucrose and total volatiles. Notably, a subset of volatile compounds made berries taste sweeter than their measured sugar alone would predict. So the very same cultivar can eat noticeably better in a favorable stretch of the season than in a harsh one, independent of price.",,,high,The hidden season and the noise gate
25,food-science,peak-season,"Kader, Adel A.",2008,Flavor quality of fruits and vegetables,"Journal of the Science of Food and Agriculture, 88(11), 1863-1868",https://doi.org/10.1002/jsfa.3293,"A review of what actually makes fruits and vegetables taste good. Eating quality — the balance of sugars, acids, and aroma volatiles — is largely fixed before harvest by the cultivar and by how ripe the item was when it was picked. For most crops, the longer the gap between harvest and eating, the more of that characteristic flavor is lost and the more off-flavors develop. Many commercial crops are harvested less-than-ripe so they survive shipping, which caps how good they can ever taste on the plate.",,,high,The hidden season and the noise gate
26,economics,substitution,Angus Deaton; John Muellbauer,1980,An Almost Ideal Demand System,"American Economic Review (American Economic Association), 70(3): 312-326",https://www.jstor.org/stable/1805222,"Introduced the Almost Ideal Demand System (AIDS), a theoretically consistent demand model in which each good's budget share is linear in log prices and log real expenditure, yielding estimable own-price, cross-price, and expenditure elasticities and permitting direct tests of homogeneity and symmetry.","It is the demand-system backbone our substitution finder rests on: substitutability is a property of estimated compensated demand response, so we treat 'substitute' as a demand-model claim, never a raw price-correlation claim.",,high,The swap that helps versus the swap that mirrors
27,economics,substitution,Abigail M. Okrent; Julian M. Alston,2012,The Demand for Disaggregated Food-Away-from-Home and Food-at-Home Products in the United States,"USDA Economic Research Service, Economic Research Report No. 139 (ERR-139)",https://www.ers.usda.gov/publications/pub-details?pubid=45006,"Estimating a demand system for 43 disaggregated food-away-from-home and food-at-home products in the United States via two-stage budgeting, they recover own-price, expenditure, and cross-price elasticities and find many statistically significant substitution and complementary relationships within and across food categories, with food-away-from-home items being expenditure-elastic 'luxuries.'","It supplies real U.S. food cross-price elasticities showing substitution is pair- and category-specific and frequently small, so our finder derives a candidate swap's hedging value from measured demand response rather than assuming any two ingredients substitute.",,high,The swap that helps versus the swap that mirrors
28,economics,substitution,Tatiana Andreyeva; Michael W. Long; Kelly D. Brownell,2010,The Impact of Food Prices on Consumption: A Systematic Review of Research on the Price Elasticity of Demand for Food,"American Journal of Public Health, 100(2): 216-222",https://doi.org/10.2105/AJPH.2008.151415,"A systematic review of 160 studies found mean own-price elasticities of demand for major U.S. food and beverage categories clustering in the inelastic range (absolute values roughly 0.27 to 0.81), with food away from home, soft drinks, juice, and meats the most price-responsive (about 0.7-0.8) and eggs the least (about 0.27).","It grounds the finder's category-specific humility: measured food price-responsiveness varies widely by category and robust cross-price/substitution estimates are comparatively scarce, so a proposed swap's hedging benefit must be evidenced per category rather than assumed from a single 'food is inelastic' rule of thumb.","The myth of a single or uniform food price elasticity (that 'food demand is inelastic' as one number); the review documents that elasticities differ substantially by category, with food away from home among the most price-responsive.",high,The swap that helps versus the swap that mirrors
29,economics,substitution,Robert S. Pindyck; Julio J. Rotemberg,1990,The Excess Co-Movement of Commodity Prices,"The Economic Journal (Royal Economic Society), 100(403): 1173-1189",https://academic.oup.com/ej/article-abstract/100/403/1173/5188414,"Prices of largely unrelated raw commodities (wheat, cotton, copper, gold, crude oil, lumber, cocoa) exhibit persistent co-movement well in excess of anything that common macroeconomic fundamentals - inflation, industrial production, interest rates, and exchange rates - can explain.","It is the empirical warrant for our core honesty rule - that two ingredients whose wholesale prices move together are not thereby substitutes and swapping one for the other does not hedge - because co-movement is driven by shared macro/financial forces, not by any demand relationship between the goods (we flag that later work, e.g. Deb-Trivedi-Varangis 1996, contests the magnitude of the 'excess,' though not that unrelated commodities co-move).","The myth that price co-movement reveals an economic linkage - that co-moving goods are substitutes/complements, or that a co-moving swap hedges; Pindyck-Rotemberg show commodity-price co-movement exceeds and is unexplained by common fundamentals, so co-movement is not evidence of substitutability.",med,The swap that helps versus the swap that mirrors
30,food-science,substitution,W. Grosch,2001,"Evaluation of the Key Odorants of Foods by Dilution Experiments, Aroma Models and Omission","Chemical Senses, 26(5), 533–545",https://doi.org/10.1093/chemse/26.5.533,"Across foods as different as coffee, boiled beef, olive oil, wine, and French fries, a food's characteristic aroma is carried by a surprisingly small set of 'key odorants.' When researchers rebuild the aroma from pure compounds (an aroma model) and then leave one compound out (an omission test), the smell noticeably shifts — direct proof that a handful of specific molecules are load-bearing for the food's identity. The review notes odorants with higher odour activity values are usually essential, with some exceptions.",,,high,The swap that helps versus the swap that mirrors
31,food-science,substitution,T. L. Potter and I. S. Fagerson,1990,Composition of coriander leaf volatiles,"Journal of Agricultural and Food Chemistry, 38(11), 2054–2056",https://doi.org/10.1021/jf00101a011,"The characteristic smell of fresh cilantro (coriander) leaf comes overwhelmingly from a family of long-chain aliphatic aldehydes — chiefly (E)-2-decenal and decanal, alongside other C10–C16 2-alkenals and n-alkanals. In this study these aldehydes were the dominant volatiles isolated from the leaf, and they are what the nose reads as 'cilantro.'",,,high,The swap that helps versus the swap that mirrors
32,economics,menu-costs,"Alan S. Blinder, Elie R. D. Canetti, David E. Lebow, and Jeremy B. Rudd",1998,Asking About Prices: A New Approach to Understanding Price Stickiness,"Russell Sage Foundation, New York (ISBN 9780871541215)",https://www.russellsage.org/publications/book/asking-about-prices,"In structured interviews with ~200 U.S. firms testing twelve theories of price stickiness, most firms reported repricing no more than once or twice a year (many only annually), and the best-supported explanations were coordination failure (waiting for rivals to move first) and implicit contracts / not antagonizing customers rather than the physical cost of changing prices.","Validates our posture with operator testimony: experienced price-setters deliberately hold prices roughly annually and cite relational/strategic frictions, which is exactly why we counsel floating quietly rather than reprinting the menu at the first cost move.","That 'menu costs' are dominated by the physical cost of changing price tags or menus — Blinder's survey ranked such physical costs low; the binding frictions are informational and relational (coordination failure, customer goodwill).",high,Don't reprint on a spike: the shock-duration read
33,economics,why-it-matters,Holbrook Working,1949,The Theory of Price of Storage,"The American Economic Review (American Economic Association), vol. 39, no. 6, pp. 1254-1262",https://www.jstor.org/stable/1816601,"Working demonstrated that the price relationship between a commodity for delivery at different dates (the intertemporal or 'storage' spread) is set by the quantity of supply currently on hand and the competitively-determined cost of carrying it forward, not by the market's expectation of future price change—so the recurring harvest-glut-to-lean-season price structure is the return earned for storing supply across time.","This underwrites why a seasonal window exists at all—storage arbitrage smooths but cannot erase the glut-to-lean cost cycle—while cautioning that the spread is a return to storage, not a forecast, which is exactly why our seasonal-window layer prices around a recurring shape and never forecasts a level.","Corrects the common belief that a forward/seasonal price gap is the market 'predicting' future scarcity; Working shows the spread reflects current supply and carrying cost, so it is not a price forecast to be traded on.",high,Don't reprint on a spike: the shock-duration read
34,economics,trim-to-value,"Austin Clowes, Craig Hanson, and Richard Swannell (on behalf of Champions 12.3)",2019,The Business Case for Reducing Food Loss and Waste: Restaurants,"Champions 12.3, in partnership with the World Resources Institute (WRI) and WRAP",https://champions123.org/publication/business-case-reducing-food-loss-and-waste-restaurants,"A study of 114 restaurant sites across 12 countries found nearly every site achieved a positive return, with the average restaurant saving about $7 for every $1 invested in cutting kitchen food waste; sites reduced waste roughly 26% within the first year, over 75% recouped their investment within a year (89% within two years), and every site kept total investment under $20,000.","Our trim-to-value layer uses this restaurant-specific 7:1 as its conservative, real-world ROI anchor for turning measured trim and waste reduction into recovered margin, rather than leaning on the inflated cross-sector number.","The belief that kitchen food-waste programs demand heavy capital and have long paybacks - the study found every one of the 114 sites invested under $20,000 and most recouped within a single year.",high,Waste is margin: trim-to-value
35,economics,why-it-matters,Craig Hanson and Peter Mitchell (on behalf of Champions 12.3),2017,The Business Case for Reducing Food Loss and Waste,"Champions 12.3, in partnership with the World Resources Institute (WRI) and WRAP",https://champions123.org/publication/business-case-reducing-food-loss-and-waste,"Across 1,200 business sites in 700 companies spanning 17 countries, nearly every site achieved a positive return on food-loss-and-waste reduction, with half realizing a benefit-cost ratio of 14:1 or greater (an average of roughly $14 saved for every $1 invested).","It grounds our why-it-matters case that measuring and acting on waste reliably pays back at scale, while our page deliberately cites the restaurant-specific 7:1 instead of this headline 14:1 to avoid overstating the return for a single kitchen.","The widely repeated '14:1 return on food-waste reduction' is a multi-sector average (manufacturing, retail, hospitality, foodservice) that is routinely mis-applied to restaurants specifically; the restaurant-only companion study puts the figure at about 7:1.",high,Waste is margin: trim-to-value
