slug,authority,code,label,granularity,native_level,binding,shared_with,note
blueberry,census_hs,0810400029,"BLUEBERRIES, CULTIVATED, FRESH NESOI",line,hs10,slug_aggregates_codes,,
blueberry,ghcn_weather,pe-coast,Peru central coast (blueberry) — refine toward Ica / La Libertad on calibration,proxy,weather_region,exact,,stated origin: Peru 56%
blueberry,usda_ers,Fresh blueberries: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
blueberry,usda_nass,BLUEBERRIES,BLUEBERRIES,commodity,nass_commodity,exact,,
bok-choy,census_hs,0704904015,"BOK CHOY, FRESH OR CHILLED, NESOI",line,hs10,exact,,Bok choy specifically.
bok-choy,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;collard-greens;brussels-sprouts;cilantro;leek;daikon;rutabaga,stated origin: Mexico 78%
bok-choy,usda_nass,GREENS,GREENS,commodity,nass_commodity,exact,,
branzino,census_hs,030284,"SEABASS, FRESH OR CHILLED",commodity,hs6,exact,,
broccoli,census_hs,0704904022,"BROCCOLI INCL SPROUTING, FR/CH, CERT ORG",line,hs10,slug_aggregates_codes,,
broccoli,census_hs,0704904024,"BROCCOLI INCL SPROUTING, FR/CH",line,hs10,slug_aggregates_codes,,"Broccoli incl sprouting, non-organic + organic (0704904022) summed. The US schedule moved broccoli to 0704.90 in 2022; earlier years sat with cauliflower under 0704.10, so this is the recent-years broccoli stream."
broccoli,usda_ers,Fresh broccoli: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
broccoli,usda_nass,BROCCOLI,BROCCOLI,commodity,nass_commodity,exact,,
brussels-sprouts,census_hs,070420,"BRUSSELS SPROUTS, FRESH OR CHILLED",commodity,hs6,exact,,
brussels-sprouts,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;collard-greens;cilantro;leek;daikon;rutabaga,stated origin: Mexico 87%
brussels-sprouts,usda_ers,Fresh brussels sprouts: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
brussels-sprouts,usda_nass,BRUSSELS SPROUTS,BRUSSELS SPROUTS,commodity,nass_commodity,exact,,
butter,census_hs,040510,BUTTER,commodity,hs6,exact,,
butter,usda_nass,BUTTER,BUTTER,commodity,nass_commodity,exact,,NASS dairy-product series where present; else MILK farm price is the upstream.
butter-lettuce,census_hs,0705192040,"LETTUCE, BUTTERHEAD, FRESH/CHILLED (6/1-10/31)",line,hs10,slug_aggregates_codes,,
butter-lettuce,census_hs,0705194040,"LETTUCE, BUTTERHEAD, FRESH/CHILLED (11/1-5/31)",line,hs10,slug_aggregates_codes,,"Butterhead lettuce, summed across entry periods (0705192040)."
butter-lettuce,usda_ers,Fresh head lettuce: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
butter-lettuce,usda_nass,LETTUCE / LEAF,LETTUCE,line,nass_commodity_class,exact,,Butterhead falls in NASS leaf/other lettuce.
butternut-squash,census_hs,0709932022,"BUTTERNUT SQUASH, CERT ORG",line,hs10,slug_aggregates_codes,,
butternut-squash,census_hs,0709932060,"BUTTERNUT SQUASH, FRESH OR CHILLED",line,hs10,slug_aggregates_codes,,"Fresh butternut squash, non-organic + organic (0709932022) summed."
butternut-squash,usda_ers,Fresh squash: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
butternut-squash,usda_nass,SQUASH,SQUASH,commodity,nass_commodity,exact,,
button-mushroom,census_hs,070951,"MUSHROOMS OF THE GENUS AGARICUS, FRESH OR CHILLED",commodity,hs6,exact,,Fresh Agaricus (white button / cremini).
button-mushroom,usda_ers,Fresh mushrooms: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
button-mushroom,usda_nass,MUSHROOMS,MUSHROOMS,commodity,nass_commodity,exact,,
cabbage,census_hs,0704902000,"CABBAGE, FRESH OR CHILLED",line,hs10,exact,,Fresh cabbage specifically.
cabbage,usda_ers,Fresh cabbage: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
cabbage,usda_nass,CABBAGE,CABBAGE,commodity,nass_commodity,exact,,
canned-tomatoes,census_hs,200210,"TOMATOES WHOLE/PIECES, PREPARED/PRESERVED",commodity,hs6,exact,,
canned-tuna,census_hs,160414,"TUNAS/SKIPJACK/BONITO, PREPARED OR PRESERVED",commodity,hs6,exact,,
cantaloupe,census_hs,080719,"MELONS(EXCEPT WATERMELONS) AND PAPAYAS, FRESH",commodity,hs6,exact,,HS6 combines other melons (cantaloupe/honeydew) and papayas; broader than cantaloupe alone.
cantaloupe,ghcn_weather,gt-soconusco,Tapachula / Soconusco (Guatemala-border melon),proxy,weather_region,exact,,stated origin: Guatemala 58%
cantaloupe,usda_ers,Fresh cantaloupe: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
cantaloupe,usda_nass,MELONS / CANTALOUP,MELONS,line,nass_commodity_class,exact,,
cardamom,census_hs,090831,"CARDAMOMS, WHOLE",commodity,hs6,slug_aggregates_codes,,
cardamom,census_hs,090832,"CARDAMOMS, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
carrot,census_hs,070610,"CARROTS AND TURNIPS, FRESH OR CHILLED",commodity,hs6,exact,,HS6 combines carrots and turnips.
carrot,usda_ers,Fresh carrots: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
carrot,usda_nass,CARROTS,CARROTS,commodity,nass_commodity,exact,,
cashew,census_hs,080132,"CASHEW NUTS, SHELLED",commodity,hs6,exact,,
cassava,census_hs,071410,"CASSAVA (MANIOC), FRESH OR DRIED",commodity,hs6,exact,,
catfish,census_hs,030324,"CATFISH, FROZEN",commodity,hs6,slug_aggregates_codes,,
catfish,census_hs,030462,"CATFISH FILLETS, FROZEN",commodity,hs6,slug_aggregates_codes,,
catfish,usda_nass,CATFISH,CATFISH,commodity,nass_commodity,exact,,US farmed catfish (aquaculture) — the one seafood NASS covers well; wild-caught US landings come from NOAA Fisheries.
cauliflower,census_hs,070410,"CAULIFLOWERS AND BROCCOLI, FRESH OR CHILLED",commodity,hs6,exact,,"Fresh cauliflower (HS6 combines cauliflower and broccoli, but the US schedule moved broccoli to 0704.90 in 2022, so recent years here are cauliflower-dominant; broccoli is mapped to its own HS10 line)."
cauliflower,usda_ers,Fresh cauliflower: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
cauliflower,usda_nass,CAULIFLOWER,CAULIFLOWER,commodity,nass_commodity,exact,,
caviar,census_hs,160431,CAVIAR,commodity,hs6,exact,,
celery,census_hs,070940,"CELERY OTHER THAN CELERIAC, FRESH OR CHILLED",commodity,hs6,exact,,
celery,usda_ers,Fresh celery: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
celery,usda_nass,CELERY,CELERY,commodity,nass_commodity,exact,,
chayote,census_hs,0709991000,"CHAYOTE (SECHIUM EDULE), FRESH OR CHILLED",line,hs10,exact,,Fresh chayote.
cheddar-cheese,census_hs,040690,"CHEESE, NESOI, INCLUDING CHEDDAR AND COLBY",commodity,hs6,exact,,"The 'other cheese' basket, explicitly including cheddar and colby; broader than cheddar alone."
cheddar-cheese,usda_nass,CHEESE,CHEESE,commodity,nass_commodity,exact,,
cherry,census_hs,080929,"CHERRIES, FRESH, NESOI",commodity,hs6,exact,,
cherry,usda_nass,CHERRIES / SWEET,CHERRIES,line,nass_commodity_class,exact,,
cherry-tomato,census_hs,0702002019,"CHERRY GREENHOUSE TOMATO, FR",line,hs10,slug_aggregates_codes,,"Cherry tomatoes specifically, summed across entry periods and greenhouse/field lines (a subset of the all-tomatoes total on tomato)."
cherry-tomato,census_hs,0702002052,"CHERRY TOMATOES, FR/CH NESOI",line,hs10,slug_aggregates_codes,,
cherry-tomato,census_hs,0702004019,"CHERRY GREENHOUSE TOMATOES (7/15-8/31), FR/CH",line,hs10,slug_aggregates_codes,,
cherry-tomato,census_hs,0702004041,"CHERRY TOMATOES (7/15-8/31), FR/CH NESOI",line,hs10,slug_aggregates_codes,,
cherry-tomato,census_hs,0702006019,"CHERRY GRNHSE TOMATO (11/15-FEB), FR/CH NESOI",line,hs10,slug_aggregates_codes,,
cherry-tomato,census_hs,0702006039,"CHERRY TOMATO (11/15-FEB), NESOI",line,hs10,slug_aggregates_codes,,
cherry-tomato,usda_ers,Fresh tomatoes (field and hothouse): Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
cherry-tomato,usda_nass,TOMATOES / FRESH MARKET,TOMATOES,line,nass_commodity_class,exact,,Shares the fresh-market tomato commodity; no cherry split in NASS.
chicken-breast,usda_ers,Total chicken: Supply and use,poultry,commodity,ers_commodity,exact,,scope: commodity
chicken-breast,usda_nass,CHICKENS / BROILERS,CHICKENS,line,nass_commodity_class,exact,,NASS broilers; not by part.
chicken-thigh,usda_ers,Total chicken: Supply and use,poultry,commodity,ers_commodity,exact,,scope: commodity
chicken-thigh,usda_nass,CHICKENS / BROILERS,CHICKENS,line,nass_commodity_class,exact,,
cilantro,census_hs,0709999010,"CILANTRO, FRESH OR CHILLED",line,hs10,exact,,Fresh cilantro specifically (its own HS10 line).
cilantro,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;collard-greens;brussels-sprouts;leek;daikon;rutabaga,stated origin: Mexico 96%
cilantro,usda_nass,CILANTRO,CILANTRO,commodity,nass_commodity,exact,,
cinnamon,census_hs,090611,"CINNAMON, WHOLE",commodity,hs6,slug_aggregates_codes,,
cinnamon,census_hs,090619,"CINNAMON-TREE FLOWERS, WHOLE",commodity,hs6,slug_aggregates_codes,,
cinnamon,census_hs,090620,"CINNAMON, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
clams,census_hs,030779,"CLAMS, COCKLES AND ARK SHELLS, NESOI",commodity,hs6,exact,,"Clams, cockles and ark shells combined (NESOI)."
clams,noaa_fisheries,clam,Clam,group,noaa_category,exact,,Wild clam landings; note some clams are also aquacultured (a seam on the domestic side too).
cloves,census_hs,090710,"CLOVES, WHOLE",commodity,hs6,slug_aggregates_codes,,
cloves,census_hs,090720,"CLOVES, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
coconut,census_hs,080111,"COCONUTS, DESICCATED",commodity,hs6,slug_aggregates_codes,,
coconut,census_hs,080119,"COCONUTS, FRESH, NESOI",commodity,hs6,slug_aggregates_codes,,
cod,census_hs,030251,"COD, FRESH OR CHILLED",commodity,hs6,slug_aggregates_codes,,
cod,census_hs,030366,"COD, FROZEN (whole)",commodity,hs6,slug_aggregates_codes,,
cod,census_hs,030471,"COD FILLETS, FROZEN",commodity,hs6,slug_aggregates_codes,,
cod,noaa_fisheries,cod,Cod,group,noaa_category,exact,,"Atlantic + Pacific cod, both wild; CODFISHES ** is the aggregate rollup."
coffee,census_hs,090121,"COFFEE, ROASTED, NOT DECAFFEINATED",commodity,hs6,exact,,
collard-greens,census_hs,0704904025,"COLLARDS, FRESH OR CHILLED, NESOI",line,hs10,slug_aggregates_codes,,"Collards, summed across the two NESOI lines (0704904028)."
collard-greens,census_hs,0704904028,"COLLARDS, FRESH OR CHILLED, NESOI",line,hs10,slug_aggregates_codes,,
collard-greens,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;brussels-sprouts;cilantro;leek;daikon;rutabaga,stated origin: Mexico 62%
collard-greens,usda_ers,Fresh collard greens: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
collard-greens,usda_nass,GREENS,GREENS,commodity,nass_commodity,exact,,
coriander-seed,census_hs,090921,"CORIANDER SEEDS, WHOLE",commodity,hs6,slug_aggregates_codes,,
coriander-seed,census_hs,090922,"CORIANDER SEEDS, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
corn-on-the-cob,census_hs,0709994500,"SWEET CORN, FRESH OR CHILLED",line,hs10,exact,,Fresh sweet corn.
corn-on-the-cob,usda_ers,Fresh sweet corn: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
corn-on-the-cob,usda_nass,SWEET CORN / FRESH MARKET,SWEET CORN,line,nass_commodity_class,exact,,
cucumber,census_hs,070700,"CUCUMBERS AND GHERKINS, FRESH OR CHILLED",commodity,hs6,exact,,
cucumber,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;jalapeno;serrano-pepper;poblano-pepper;habanero-pepper;eggplant,stated origin: Mexico 54%
cucumber,usda_ers,Fresh cucumbers: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
cucumber,usda_nass,CUCUMBERS,CUCUMBERS,commodity,nass_commodity,exact,,
cumin,census_hs,090931,"CUMIN SEEDS, WHOLE",commodity,hs6,slug_aggregates_codes,,
cumin,census_hs,090932,"CUMIN SEEDS, CRUSHED OR GROUND",commodity,hs6,slug_aggregates_codes,,
daikon,census_hs,0706902000,"RADISHES, FRESH OR CHILLED",line,hs10,exact,,Radishes (daikon is a radish).
daikon,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,kale;bok-choy;collard-greens;brussels-sprouts;cilantro;leek;rutabaga,stated origin: Mexico 62%
daikon,usda_nass,DAIKON,DAIKON,commodity,nass_commodity,exact,,
dates,census_hs,080410,"DATES, FRESH OR DRIED",commodity,hs6,exact,,
dates,usda_nass,DATES,DATES,commodity,nass_commodity,exact,,
dill,usda_nass,DILL,DILL,commodity,nass_commodity,exact,,
dover-sole,census_hs,0302230000,"SOLE, FRESH/CHILLED, EXCEPT FILLETS, LIVERS & ROES",line,hs10,slug_aggregates_codes,,"Whole sole, fresh + frozen (0303330000) summed; excludes fillets."
dover-sole,census_hs,0303330000,"SOLE, FROZEN, EXCEPT FILLETS, LIVERS AND ROES",line,hs10,slug_aggregates_codes,,
dover-sole,noaa_fisheries,dover-sole,Dover sole,group,noaa_category,exact,,"US 'dover sole' = Pacific dover sole specifically — matched alone, NOT the whole 15-species sole group."
eggplant,census_hs,070930,"EGGPLANTS (AUBERGINES), FRESH OR CHILLED",commodity,hs6,exact,,
eggplant,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;jalapeno;serrano-pepper;poblano-pepper;habanero-pepper;cucumber,stated origin: Mexico 87%
eggplant,usda_ers,Fresh eggplant: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
eggplant,usda_nass,EGGPLANT,EGGPLANT,commodity,nass_commodity,exact,,
eggs,census_hs,040721,"EGGS OF CHICKENS, FRESH, NESOI",commodity,hs6,exact,,Fresh chicken eggs in shell (NESOI); data 2012+.
eggs,usda_ers,Eggs: Per capita availability,eggs,commodity,ers_commodity,exact,,scope: commodity
eggs,usda_nass,EGGS / TABLE,EGGS,line,nass_commodity_class,exact,,
garlic,census_hs,070320,"GARLIC, FRESH OR CHILLED",commodity,hs6,exact,,
garlic,usda_ers,Fresh garlic: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
garlic,usda_nass,GARLIC,GARLIC,commodity,nass_commodity,exact,,
ginger,census_hs,091011,"GINGER, NEITHER CRUSHED NOR GROUND",commodity,hs6,exact,,Fresh ginger (not crushed or ground).
ginger,usda_nass,GINGER ROOT,GINGER ROOT,commodity,nass_commodity,exact,,
goat,census_hs,020450,"MEAT OF GOATS, FRESH, CHILLED OR FROZEN",commodity,hs6,exact,,
goat,usda_nass,GOATS,GOATS,commodity,nass_commodity,exact,,
grapefruit,census_hs,080540,"GRAPEFRUIT AND POMELOS, FRESH OR DRIED",commodity,hs6,exact,,
grapefruit,usda_ers,Fresh grapefruit: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
grapefruit,usda_nass,GRAPEFRUIT,GRAPEFRUIT,commodity,nass_commodity,exact,,
grapes,census_hs,080610,"GRAPES, FRESH",commodity,hs6,exact,,
grapes,usda_ers,Fresh grapes: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
grapes,usda_nass,GRAPES / TABLE,GRAPES,line,nass_commodity_class,exact,,
green-beans,census_hs,0708209010,"BEANS (PHASEOLUS SPP.), FRESH OR CHILLED, NESOI",line,hs10,exact,,Fresh Phaseolus beans — green/snap beans.
green-beans,usda_ers,Fresh snap beans: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
green-beans,usda_nass,BEANS / SNAP,BEANS,line,nass_commodity_class,exact,,Fresh snap/green beans.
green-leaf-lettuce,census_hs,0705192060,"RED AND GREEN LETTUCE, FR/CH (6/1-10/31)",line,hs10,aggregate_and_shared,red-leaf-lettuce,
green-leaf-lettuce,census_hs,0705194060,"RED AND GREEN LETTUCE, FR/CH (11/1-5/31)",line,hs10,aggregate_and_shared,red-leaf-lettuce,HS10 combines red and green leaf lettuce; summed across entry periods (0705192060).
green-leaf-lettuce,usda_ers,Fresh romaine and leaf lettuce: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
green-leaf-lettuce,usda_nass,LETTUCE / LEAF,LETTUCE,line,nass_commodity_class,exact,,
green-onion,census_hs,0703900020,"GREEN ONIONS OTHER THAN ALLIUM CEPA, FRESH/CHILLED",line,hs10,exact,,Green onions specifically.
green-onion,usda_ers,Fresh onions: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
green-onion,usda_nass,ONIONS / GREEN,ONIONS,line,nass_commodity_class,exact,,Green (spring) onions if NASS carries the class; else falls to dry onions.
ground-beef,census_hs,0201305085,"MEAT,BVNE BNELESS FR/CH US NT 3 EXC PRCSD,NESOI",line,hs10,slug_aggregates_codes,,Boneless beef not in a named primal (fresh) — the lean manufacturing trim that feeds grinding; summed with its frozen twin (0202305085). Data from 2017.
ground-beef,census_hs,0202305085,"MEAT,BVINE BONELESS FRZN US NTE 3 EXC PRCSD, NESOI",line,hs10,slug_aggregates_codes,,
ground-beef,usda_ers,Beef: Supply and use - carcass weight,red-meat,commodity,ers_commodity,exact,,scope: commodity
ground-beef,usda_nass,CATTLE,CATTLE,commodity,nass_commodity,exact,,
grouper,census_hs,0302895061,"GROUPER, FR/CH, EXCEPT FILLET, LIVER AND ROE NESOI",line,hs10,slug_aggregates_codes,,"Whole grouper, fresh + frozen (0303890070) summed; excludes fillets."
grouper,census_hs,0303890070,"GROUPER, FROZEN, EXCEPT FILLETS, LIVERS AND ROES",line,hs10,slug_aggregates_codes,,
grouper,noaa_fisheries,grouper,Grouper,group,noaa_category,exact,,Black/gag/red and the wider Epinephelidae group roll up.
habanero-pepper,census_hs,0709602070,"CHILI PEPPERS, FRESH/CHILLED, NESOI",line,hs10,exact,,Habanero is not separately listed at HS10; shown as the fresh chili-pepper NESOI stream (all other chilies).
habanero-pepper,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;jalapeno;serrano-pepper;poblano-pepper;cucumber;eggplant,stated origin: Mexico 94%
habanero-pepper,usda_nass,PEPPERS / CHILE,PEPPERS,line,nass_commodity_class,exact,,
haddock,census_hs,030472,"HADDOCK FILLETS, FROZEN",commodity,hs6,exact,,
haddock,noaa_fisheries,haddock,Haddock,group,noaa_category,exact,,US wild Atlantic haddock.
honey,census_hs,040900,"HONEY, NATURAL",commodity,hs6,exact,,
iceberg-lettuce,census_hs,070511,"HEAD LETTUCE (CABBAGE LETTUCE), FRESH OR CHILLED",commodity,hs6,exact,,"Head/cabbage lettuce (iceberg, butterhead)."
iceberg-lettuce,usda_ers,Fresh head lettuce: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
iceberg-lettuce,usda_nass,LETTUCE / HEAD,LETTUCE,line,nass_commodity_class,exact,,NASS splits lettuce by class: head lettuce = iceberg-type.
jalapeno,census_hs,0709602020,"JALAPENO PEPPERS, FRESH/CHILLED",line,hs10,exact,,Jalapeño peppers specifically.
jalapeno,ghcn_weather,mx-sinaloa,Culiacan / Sinaloa winter-vegetable export belt (warm-season fruiting veg),proxy,weather_region,code_shared_by_slugs,tomato;bell-pepper;serrano-pepper;poblano-pepper;habanero-pepper;cucumber;eggplant,stated origin: Mexico 98%
jalapeno,usda_nass,PEPPERS / CHILE,PEPPERS,line,nass_commodity_class,exact,,
jicama,census_hs,0709990500,"JICAMAS AND BREADFRUIT, FRESH OR CHILLED",line,hs10,exact,,HS10 combines jicama and breadfruit.
kale,census_hs,0704904035,"KALE, FRESH OR CHILLED, NESOI",line,hs10,exact,,Kale specifically.
kale,ghcn_weather,mx-baja,"Mexicali / Baja California (cool-season greens, brassicas, herbs, roots; some tomato/berry)",proxy,weather_region,code_shared_by_slugs,bok-choy;collard-greens;brussels-sprouts;cilantro;leek;daikon;rutabaga,stated origin: Mexico 96%
kale,usda_ers,Fresh kale: Supply and use,vegetables-fresh,commodity,ers_commodity,exact,,scope: commodity
kale,usda_nass,GREENS,GREENS,commodity,nass_commodity,exact,,Kale falls in the NASS greens commodity.
ketchup,census_hs,210320,TOMATO KETCHUP AND OTHER TOMATO SAUCES,commodity,hs6,exact,,
kiwi,census_hs,081050,KIWI FRUIT (CHINESE GOOSEBERRIES) FRESH,commodity,hs6,exact,,
kiwi,usda_ers,Fresh kiwifruit: Supply and use,fruit-fresh,commodity,ers_commodity,exact,,scope: commodity
